title,price,reference,image_url
pc portable dell vostro 3530 / i5-1335u / 24 go / 512 go ssd / windows 11,1689000.0,[361505-3530-24],
pc portable  hp15-fd0041nk / i5-1334u / 16g 512ssd / windows 11/ gold,1699000.0,[9D6W1EA-16],
pc portable  hp15-fd0042nk / i5-1334u / 16g 512ssd / windows 11/ silver,1699000.0,[9D6W0EA-16],
pc portable  hp15-fd0041nk / i5-1334u / 16g 512ssd / windows 11/ blue,1699000.0,[9D6V9EA-16],
pc portable lenovo thinkbook 16 g6 en irl / i3-1315u / 32 go ddr5 / 512 go ssd / gris,1709000.0,[21KH00SPFE-2Y-32],
pc portable hp 15-fd0267nk / i5-1334u / 32 go / 256 go ssd / gris,1715000.0,[A2AQ0EA-32],
pc portable hp 15-fd0095nk / i5-1334u / 24 go / 512 go ssd / silver,1715000.0,[A2AP7EA-24],
pc portable asus vivobook 15 x1502va / i5-13500h / 16 go / windows 11 / silver,1715000.0,[S-X1502VA-NJ231W-16],
pc portable hp 15-fd0093nk / i5-1334u / 24 go / 512 go ssd / gold,1719000.0,[A2AP6EA-24],
pc portable lenovo ideapad slim 3 15abr8 / ryzen 7 7730u / 8 go / windows 11 / gris,1729000.0,[82XM006NFG],
pc portable hp 15-fd0093nk / i5-1334u / 16 go / 512 go ssd / windoows 11 pro / gold,1729000.0,[A2AP6EA-16-W11PRO],
pc portable  hp15-fd0041nk / i5-1334u / 24g 512ssd / windows 11/ gold,1739000.0,[9D6W1EA-24],
pc portable  hp15-fd0042nk / i5-1334u / 24g 512ssd / windows 11/ silver,1739000.0,[9D6W0EA-24],
pc portable  hp15-fd0041nk / i5-1334u / 24g 512ssd / windows 11/ blue,1739000.0,[9D6V9EA-24],
pc portable asus vivobook 15 x1502va / i5-13500h / 24 go / windows 11 / silver,1755000.0,[S-X1502VA-NJ231W-24],
"pc portable hp 255 g10 / ryzen 5 7530u / 4 go / 512 go ssd / noir avec sacoche hp 15.6"" offerte",1769000.0,[9G2G2ET],
pc portable hp 15-fd0093nk / i5-1334u / 24 go / 512 go ssd / windoows 11 pro /gold,1779000.0,[A2AP6EA-24-W11P],
pc portable lenovo ideapad slim 3 15abr8 / ryzen 7 7730u / 16 go / 512 go ssd / gris avec sacoche lenovo offerte,1799000.0,[82XM00H6FG-2Y],
pc portable asus expertbook b1 b1502cva / i5-1335u / 8 go / 512 go ssd / étoile noire,1799000.0,[B1502CVA-NJ2209],
pc portable dell vostro 3530 / i5-1335u / 8 go / noir,1799000.0,[N1808PVNB3530EMEA0],
pc portable dynabook sattelite pro l50-j-10z / i5 11é gén / 8 go / noir,1813000.0,[L50-J-10Z],
pc portable dynabook sattelite pro l50-j-10d / i5 11é gén / 8 go,1813000.0,[L50-J-10D],
pc portable dell vostro 3530 / i5-1335u / 12 go / noir,1819000.0,[N1808PVNB3530EM-12],
pc portable hp 15-fd0097nk / i5-1334u / 32 go / 512 go ssd / noir,1824000.0,[A2AP8EA-32],
pc portable hp hp 250 g10 / i5-1334u / 8 go / 512 go ssd / noir,1849000.0,[85C82EA],
pc portable hp 15-fd0079nk / i5-1334u / mx570 2g / 8 go / 512 go ssd / silver,1855000.0,[AB1T5EA],
pc portable hp 15-fd0080nk / i5-1334u / mx570 2g / 8 go / 512 go ssd / noir,1855000.0,[AB1T6EA],
