title,price,reference,description
PC Portable HP 15-fd0042nk i5 13è Gén 8Go 512Go SSD - Silver,"1 659,000 DT", [9D6W0EA],
PC Portable HP 15-fd0048nk i5 13è Gén 8Go 512Go SSD - Silver & Or Chaud,"1 659,000 DT", [9D6W1EA],
PC Portable ASUS Vivobook 16 X1605VA i5 13è Gén 12Go 512Go SSD - Silver,"1 659,000 DT", [X1605VA-MB475W-12G],
PC Portable LENOVO V15 G4 IRU i5 13è Gén 16Go 512G SSD - Noir,"1 665,000 DT", [BU-83A1009HFE-16G-W11P],
PC Portable HP 15-fd0095nk i5 13è Gén 16Go 512Go SSD - Silver,"1 669,000 DT", [A2AP7EA-16G],
PC Portable HP 15-fd0093nk i5 13è Gén 16Go 512Go SSD - Silver & Or Chaud,"1 669,000 DT", [A2AP6EA-16G],
PC Portable HP 15-fd0094nk i5 13è Gén 16Go 512Go SSD - Silver & Bleu,"1 669,000 DT", [A2AP5EA-16G],
PC Portable HP 15-fd0097nk i5 13è Gén 16Go 512Go SSD - Noir,"1 669,000 DT", [A2AP8EA-16G],
PC Portable HP 15-fd0041nk i5 13è Gén 12Go 512Go SSD - Silver & Bleu,"1 679,000 DT", [9D6V9EA-12G],
PC Portable HP 15-fd0042nk i5 13è Gén 12Go 512Go SSD - Silver,"1 679,000 DT", [9D6W0EA-12G],
PC Portable HP 15-fd0048nk i5 13è Gén 12Go 512Go SSD - Silver & Or Chaud,"1 679,000 DT", [9D6W1EA-12G],
PC Portable HP 15-fd0093nk i5 13ème Gén 8Go 512Go SSD - Silver & Or Chaud,"1 679,000 DT", [BU-A2AP6EA],
PC Portable HP 15-fd0095nk i5 13è Gén 8G 512Go SSD - Silver,"1 679,000 DT", [BU-A2AP7EA],
PC Portable HP 15-fd0094nk i5 13ème Gén 8Go 512Go SSD - Silver & Bleu,"1 679,000 DT", [BU-A2AP5EA],
PC Portable HP 15-fd0097nk i5 13è Gén 8G 512Go SSD - Noir,"1 679,000 DT", [BU-A2AP8EA],
PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 24Go 512Go SSD - Bleu,"1 679,000 DT", [X1502VA-NJ147W-24G],
PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 24Go 512Go SSD - Silver,"1 685,000 DT", [X1502VA-NJ231W-24G],
PC Portable HP 15-fd0093nk i5 13ème Gén 12Go 512Go SSD - Silver & Or Chaud,"1 695,000 DT", [BU-A2AP6EA-12G],
